Type,LongestShell,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings
I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13
M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9
F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7
M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8
F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11
F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
M,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,9
M,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14
M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10
I,0.315,0.24,0.07,0.1369999999999999,0.0545,0.0315,0.04,8
I,0.31,0.235,0.075,0.1515,0.0559999999999999,0.0315,0.05,7
I,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7
M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8
I,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7
F,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11
F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
M,0.525,0.365,0.17,0.9605,0.4379999999999999,0.2225,0.276,10
M,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,11
M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16
F,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23
M,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,9
F,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13
I,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,7
I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8
F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,10
I,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,9
F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10
M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
M,0.595,0.455,0.15,0.8859999999999999,0.4315,0.201,0.223,10
M,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,12
F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19
I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,10
F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12
M,0.565,0.45,0.115,0.9085,0.3979999999999999,0.1969999999999999,0.29,17
I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,10
I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
I,0.43,0.33,0.1,0.449,0.254,0.0825,0.0969999999999999,6
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
I,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,10
F,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,9
I,0.55,0.425,0.15,0.7665,0.3389999999999999,0.176,0.21,8
M,0.505,0.4,0.13,0.764,0.3035,0.1889999999999999,0.2175,11
F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13
M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16
I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
