species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,36.0,17.8,195,3450,FEMALE
Adelie,Biscoe,39.7,18.9,184,3550,MALE
Chinstrap,Dream,46.5,17.9,192,3500,FEMALE
Gentoo,Biscoe,47.2,15.5,215,4975,FEMALE
Chinstrap,Dream,50.2,18.7,198,3775,FEMALE
Adelie,Torgersen,41.8,19.4,198,4450,MALE
Gentoo,Biscoe,43.3,13.4,209,4400,FEMALE
Chinstrap,Dream,46.7,17.9,195,3300,FEMALE
Adelie,Torgersen,41.5,18.3,195,4300,MALE
Gentoo,Biscoe,48.8,16.2,222,6000,MALE
Gentoo,Biscoe,50.0,15.2,218,5700,MALE
Chinstrap,Dream,50.5,19.6,201,4050,MALE
Gentoo,Biscoe,42.9,13.1,215,5000,FEMALE
Adelie,Torgersen,38.6,17.0,188,2900,FEMALE
Gentoo,Biscoe,48.6,16.0,230,5800,MALE
Gentoo,Biscoe,50.0,15.9,224,5350,MALE
Adelie,Biscoe,37.7,16.0,183,3075,FEMALE
Gentoo,Biscoe,46.4,15.0,216,4700,FEMALE
Gentoo,Biscoe,45.2,13.8,215,4750,FEMALE
Adelie,Biscoe,37.8,18.3,174,3400,FEMALE
Chinstrap,Dream,49.0,19.5,210,3950,MALE
Adelie,Dream,36.9,18.6,189,3500,FEMALE
Gentoo,Biscoe,47.2,13.7,214,4925,FEMALE
Gentoo,Biscoe,48.7,15.7,208,5350,MALE
Chinstrap,Dream,45.9,17.1,190,3575,FEMALE
Gentoo,Biscoe,41.7,14.7,210,4700,FEMALE
Chinstrap,Dream,52.7,19.8,197,3725,MALE
Chinstrap,Dream,46.0,18.9,195,4150,FEMALE
Adelie,Torgersen,41.4,18.5,202,3875,MALE
Chinstrap,Dream,46.9,16.6,192,2700,FEMALE
Gentoo,Biscoe,45.8,14.6,210,4200,FEMALE
Adelie,Biscoe,37.8,20.0,190,4250,MALE
Adelie,Biscoe,35.0,17.9,192,3725,FEMALE
Gentoo,Biscoe,55.9,17.0,228,5600,MALE
Adelie,Dream,36.6,18.4,184,3475,FEMALE
Gentoo,Biscoe,50.0,16.3,230,5700,MALE
Adelie,Torgersen,39.6,17.2,196,3550,FEMALE
Gentoo,Biscoe,49.5,16.2,229,5800,MALE
Chinstrap,Dream,43.5,18.1,202,3400,FEMALE
Gentoo,Biscoe,46.8,14.3,215,4850,FEMALE
Chinstrap,Dream,46.1,18.2,178,3250,FEMALE
Chinstrap,Dream,54.2,20.8,201,4300,MALE
Adelie,Torgersen,37.3,20.5,199,3775,MALE
Adelie,Biscoe,39.6,20.7,191,3900,FEMALE
Chinstrap,Dream,51.4,19.0,201,3950,MALE
Gentoo,Biscoe,50.5,15.9,222,5550,MALE
Chinstrap,Dream,45.6,19.4,194,3525,FEMALE
Gentoo,Biscoe,51.1,16.5,225,5250,MALE
Gentoo,Biscoe,46.5,13.5,210,4550,FEMALE
Gentoo,Biscoe,49.5,16.1,224,5650,MALE
